,data,db,exp,prank,rank,reg,report,sj,zb
31,62,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050204&sj=2014,2014年,中国同拉美其他国家(地区)出口总额(万美元)
32,,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050301&sj=2015,2015年,中国同亚洲其他国家(地区)进口总额(万美元)
33,0,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050301&sj=2014,2014年,中国同亚洲其他国家(地区)进口总额(万美元)
34,31,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050302&sj=2015,2015年,中国同非洲其他国家(地区)进口总额(万美元)
35,1,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050302&sj=2014,2014年,中国同非洲其他国家(地区)进口总额(万美元)
36,7,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050304&sj=2015,2015年,中国同拉美其他国家(地区)进口总额(万美元)
37,106,年度数据,,1.731729,84.0,全国,cn=C01&zb=A06050304&sj=2014,2014年,中国同拉美其他国家(地区)进口总额(万美元)
38,25,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050205&sj=2015,2015年,中国同北美洲其他国家(地区)出口总额(万美元)
39,99,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050205&sj=2014,2014年,中国同北美洲其他国家(地区)出口总额(万美元)
40,581,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050206&sj=2015,2015年,中国同大洋洲其他国家(地区)出口总额(万美元)
41,520,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050206&sj=2014,2014年,中国同大洋洲其他国家(地区)出口总额(万美元)
42,32,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050305&sj=2015,2015年,中国同北美洲其他国家(地区)进口总额(万美元)
43,6,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050305&sj=2014,2014年,中国同北美洲其他国家(地区)进口总额(万美元)
44,57,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050306&sj=2015,2015年,中国同大洋洲其他国家(地区)进口总额(万美元)
45,20,年度数据,,1.731829,84.0,全国,cn=C01&zb=A06050306&sj=2014,2014年,中国同大洋洲其他国家(地区)进口总额(万美元)
46,,年度数据,,2.240829,84.0,全国,cn=C01&zb=A0N0P03&sj=2015,2015年,高技术产业总产值(万元)
47,,年度数据,,2.240829,84.0,全国,cn=C01&zb=A0N0P03&sj=2014,2014年,高技术产业总产值(万元)
48,180757.47,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,1.4106290000000001,84.0,全国,cn=C01&zb=A0F07&sj=2015,2015年,建筑业总产值(亿元)
49,176713.42,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,1.4106290000000001,84.0,全国,cn=C01&zb=A0F07&sj=2014,2014年,建筑业总产值(亿元)
50,180757.47,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,1.4106290000000001,84.0,全国,cn=C01&zb=A0F08&sj=2015,2015年,建筑业总产值(亿元)
51,176713.42,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,1.4106290000000001,84.0,全国,cn=C01&zb=A0F08&sj=2014,2014年,建筑业总产值(亿元)
52,5022.7,季度数据,,1.41093,84.0,全国,cn=B01&zb=A0201&sj=2017A,2017年第一季度,农业总产值_累计值(亿元)
53,734.5,季度数据,,1.41093,84.0,全国,cn=B01&zb=A0201&sj=2017A,2017年第一季度,林业总产值_累计值(亿元)
54,7522.3,季度数据,,1.41093,84.0,全国,cn=B01&zb=A0201&sj=2017A,2017年第一季度,牧业总产值_累计值(亿元)
55,1850.2,季度数据,,1.41093,84.0,全国,cn=B01&zb=A0201&sj=2017A,2017年第一季度,渔业总产值_累计值(亿元)
56,,季度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,1.41103,84.0,全国,cn=B01&zb=A0401&sj=2017A,2017年第一季度,建筑业总产值_累计值(亿元)
57,,年度数据,,1.411529,84.0,全国,cn=C01&zb=A06050207&sj=2015,2015年,中国同国别(地区)不详出口总额(万美元)
58,,年度数据,,1.411529,84.0,全国,cn=C01&zb=A06050207&sj=2014,2014年,中国同国别(地区)不详出口总额(万美元)
59,115737,年度数据,,1.411529,84.0,全国,cn=C01&zb=A06050307&sj=2015,2015年,中国同国别(地区)不详进口总额(万美元)
60,154653,年度数据,,1.411529,84.0,全国,cn=C01&zb=A06050307&sj=2014,2014年,中国同国别(地区)不详进口总额(万美元)
61,180757.47,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,2.241129,84.0,全国,cn=C01&zb=A0F0201&sj=2015,2015年,建筑业企业建筑业总产值(亿元)
62,176713.42,年度数据,建筑业总产值是以货币形式表现的建筑业企业在一定时期内生产的建筑业产品和提供服务的总和。,2.241129,84.0,全国,cn=C01&zb=A0F0201&sj=2014,2014年,建筑业企业建筑业总产值(亿元)
