,企业名称,地址,手机,电话
0,广州市天河区沙东纤羽寻服装店,中国 广东 广州市白云区 棠溪伦祥大街1巷 太平洋电脑,,
1,深圳市福田区斐亚妮娜服饰商行,中国 广东 深圳市 福田区华强北街道中航路国际大厦2705,,86 177 11615172
2,深圳市萌妹胖衣阁服饰有限公司,中国 广东 广州市白云区 沙河花生寮7巷13号,,86 020 29836585
